"","pid","w1_nc_outcome","w1_nc_intrv_c","w1_nc_intrv_d","w1_nc_intrv_m","w1_nc_intrv_y","w1_nc_duration","w1_nc_dob_m","w1_nc_dob_y","w1_nc_gen","w1_nc_popgrp","w1_nc_popgrp_o","w1_nc_edschgrd","w1_nc_edter","w1_nc_prov","w1_nc_moveprov","w1_nc_lvbfprov","w1_nc_lvdurprov","w1_nc_moveres_apr","w1_nc_moveres_may","w1_nc_dwltyp","w1_nc_nopres","w1_nc_no60res","w1_nc_nou18res","w1_nc_nou7res","w1_nc_nocld","w1_nc_watsrc","w1_nc_watwsh","w1_nc_enrgelec","w1_nc_em_feb","w1_nc_emany_feb","w1_nc_ems_feb","w1_nc_emdays_feb","w1_nc_emhrs_feb","w1_nc_eminc_feb","w1_nc_eminc_feb_brac","w1_nc_em_apr","w1_nc_emany_apr","w1_nc_ems_apr","w1_nc_emreturn","w1_nc_emabs_apr","w1_nc_emabs_apr_o","w1_nc_emtyp","w1_nc_emwnt","w1_nc_noemdc","w1_nc_noemex","w1_nc_noemex_o","w1_nc_emwrk_isco_c","w1_nc_emdays_apr","w1_nc_emhrs_apr","w1_nc_empay_freq","w1_nc_emdayinc_apr","w1_nc_emwkinc_apr","w1_nc_emwkinc_apr_brac","w1_nc_em2wksinc_apr","w1_nc_em2wksinc_apr_brac","w1_nc_eminc_apr","w1_nc_eminc_apr_brac","w1_nc_emcontr","w1_nc_eminc_ters","w1_nc_emswrk_isco_c","w1_nc_embusdays_apr","w1_nc_embushrs_apr","w1_nc_emsvat","w1_nc_emsinc_apr","w1_nc_emsinc_apr_brac","w1_nc_emsnumemp_feb","w1_nc_emsnumemp_feb_2","w1_nc_emsnumemp","w1_nc_emsnumemp_2","w1_nc_emspaysal","w1_nc_emscls","w1_nc_unems","w1_nc_unemdc","w1_nc_unemwrk_isco_c","w1_nc_uneminc_uif","w1_nc_hhincchld","w1_nc_incchld","w1_nc_hhincgovpen","w1_nc_incgovpen","w1_nc_incgov","w1_nc_incgovtyp1","w1_nc_incgovtyp2","w1_nc_incgovtyp3","w1_nc_incgovtyp_o","w1_nc_hhincsrc1","w1_nc_hhincsrc2","w1_nc_hhincsrc3","w1_nc_hhincsrc_o","w1_nc_hhincdec1","w1_nc_hhincdec2","w1_nc_hhincdec3","w1_nc_hhincdec_o","w1_nc_hhinc","w1_nc_hhincchng","w1_nc_hhfdyn","w1_nc_fdayn","w1_nc_fdaskp","w1_nc_fdcyn","w1_nc_fdcskp","w1_nc_chldcr","w1_nc_chldcr_v","w1_nc_hhcsch","w1_nc_edcbook","w1_nc_edctv","w1_nc_edcrad","w1_nc_edccon","w1_nc_suppgov","w1_nc_suppngo","w1_nc_suppcom","w1_nc_cvrsk","w1_nc_cvhhtest","w1_nc_cvtest","w1_nc_cvrslt","w1_nc_cvsypt1","w1_nc_cvsypt2","w1_nc_cvsypt3","w1_nc_cvsypt4","w1_nc_cvsypt5","w1_nc_cvsypt6","w1_nc_cvsypt7","w1_nc_cvsypt8","w1_nc_cvsypt_o","w1_nc_cvavd","w1_nc_cvbeh","w1_nc_cvbehtyp1","w1_nc_cvbehtyp2","w1_nc_cvbehtyp3","w1_nc_cvbehtyp4","w1_nc_cvbehtyp5","w1_nc_cvbehtyp6","w1_nc_cvbehtyp7","w1_nc_cvbehtyp_o","w1_nc_cvinfo1","w1_nc_cvinfo2","w1_nc_cvinfo3","w1_nc_cvinfo4","w1_nc_cvinfo5","w1_nc_cvinfo6","w1_nc_cvinfo7","w1_nc_cvinfo_o","w1_nc_hlcur","w1_nc_hl4y","w1_nc_hl4br","w1_nc_hl4syp","w1_nc_hl4vis","w1_nc_hlcon","w1_nc_hlcontyp","w1_nc_hlcontyp_o","w1_nc_hlnocon1","w1_nc_hlnocon2","w1_nc_hlnocon3","w1_nc_hlnocon_o","w1_nc_hlmed","w1_nc_hlmedtyp","w1_nc_hlmedtyp_o","w1_nc_hlser","w1_nc_hlmedaid","w1_nc_intres","w1_nc_intlng1","w1_nc_intlng2","w1_nc_intlng3","w1_nc_intlng4","w1_nc_intlng5","w1_nc_intlng6","w1_nc_intlng7","w1_nc_intlng8","w1_nc_intlng9","w1_nc_intlng10","w1_nc_intlng11"
"11",301086,1,644,4,6,2020,17.18,6,1972,2,1,"",12,1,5,2,NA,NA,2,2,1,4,-8,1,1,3,1,1,1,1,NA,NA,3,8,4600,NA,2,2,1,NA,NA,"",3,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-9,NA,2,2000,NA,2,1,1,NA,NA,2,NA,NA,NA,NA,2,NA,-8,-8,2,NA,NA,NA,"",3,NA,NA,"",3,NA,NA,"",-8,1,2,2,NA,2,NA,1,4,2,1,1,1,1,2,1,2,1,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",3,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",301088,1,630,27,5,2020,21.13,5,1978,1,1,"",10,1,2,2,NA,NA,2,2,2,13,2,2,2,2,2,1,1,2,2,3,NA,NA,NA,NA,2,2,3,2,NA,"",NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,8,2,3,NA,2,NA,2,NA,NA,NA,"",3,NA,NA,"",7,NA,NA,"",-9,2,2,2,NA,2,NA,1,3,7,1,2,2,2,2,2,2,-9,2,NA,NA,4,5,9,NA,NA,NA,NA,NA,"",-9,1,1,2,4,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",3,1,2,2,2,2,NA,"",6,NA,NA,"",2,NA,"",1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",301090,1,605,6,6,2020,22.88,8,1964,2,1,"",10,2,7,2,NA,NA,2,2,3,4,1,1,1,3,1,1,1,2,2,2,-8,NA,-8,1,2,2,2,NA,NA,"",-8,NA,NA,NA,"",-1,-8,NA,-8,NA,NA,NA,NA,NA,NA,NA,-8,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,"",3,NA,NA,"",7,NA,NA,"",-8,2,2,2,NA,2,NA,2,NA,0,2,2,2,2,2,2,2,1,2,NA,NA,1,2,4,NA,NA,NA,NA,NA,"",1,1,1,4,6,9,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",4,2,2,2,2,NA,NA,"",NA,NA,NA,"",1,2,"",2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",301092,1,630,28,5,2020,19.2,10,1981,2,1,"",12,1,2,2,NA,NA,2,2,2,14,2,10,1,2,1,1,1,2,2,3,NA,NA,NA,NA,2,2,3,2,NA,"",NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,2,3,NA,2,NA,2,NA,NA,NA,"",1,3,NA,"",7,NA,NA,"",6000,2,2,2,NA,2,NA,1,4,9,1,2,1,1,2,2,2,1,2,NA,NA,4,5,9,NA,NA,NA,NA,NA,"",1,1,1,4,9,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",3,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",301104,1,642,15,6,2020,19.38,10,1966,2,2,"",11,2,7,2,NA,NA,2,2,3,6,0,1,1,3,2,1,1,2,2,3,NA,NA,NA,NA,2,2,3,2,NA,"",NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,9,2,2,NA,0,NA,2,NA,NA,NA,"",3,4,NA,"",6,NA,NA,"",900,2,1,2,NA,2,NA,1,2,2,1,1,2,1,2,1,2,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"",1,1,2,7,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",1,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",301105,1,610,16,6,2020,13.22,10,1968,2,2,"",12,2,7,2,NA,NA,2,2,1,4,0,1,0,3,1,1,1,1,NA,NA,5,8,25000,NA,1,NA,NA,NA,NA,"",1,NA,NA,NA,"",3,5,9,4,NA,NA,NA,NA,NA,25000,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,NA,NA,NA,"",1,NA,NA,"",7,NA,NA,"",49000,2,2,2,NA,2,NA,2,NA,1,1,1,2,-9,2,2,2,2,2,NA,NA,2,7,NA,NA,NA,NA,NA,NA,"",1,1,1,3,NA,NA,NA,NA,NA,"",2,5,NA,NA,NA,NA,NA,"",3,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,1,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",301113,1,613,21,5,2020,17.62,3,1992,2,1,"",12,1,7,2,NA,NA,2,2,1,8,0,-8,-8,3,1,1,1,2,2,3,NA,NA,NA,NA,2,2,3,2,NA,"",NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,2,4,NA,0,NA,2,NA,NA,NA,"",1,3,NA,"",1,NA,NA,"",10000,1,1,1,2,2,NA,1,4,3,1,1,2,1,2,2,1,1,1,1,2,1,8,14,NA,NA,NA,NA,NA,"Feeling Cold & Dizzyness",1,1,1,4,7,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",1,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",301147,1,618,19,5,2020,14.4,2,1976,1,2,"",12,2,7,2,NA,NA,2,2,1,5,0,3,0,3,1,1,1,2,1,NA,2,2,-8,2,2,2,3,2,NA,"",NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,8,1,0,NA,0,NA,2,NA,NA,NA,"",6,NA,NA,"",6,NA,NA,"",0,1,2,2,NA,2,NA,1,2,3,2,2,2,2,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"",1,1,7,NA,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",2,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",301150,1,639,26,6,2020,18.65,9,1969,2,2,"",7,NA,7,2,NA,NA,2,2,1,6,0,2,1,3,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,2,NA,NA,NA,"",3,NA,NA,"",3,NA,NA,"",5000,1,1,2,NA,2,NA,1,4,2,1,1,2,2,2,2,2,2,1,1,3,-9,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,7,10,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",3,2,2,2,1,1,3,"",NA,NA,NA,"",2,NA,"",1,2,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",301177,1,637,23,6,2020,15.78,12,1981,2,1,"",12,1,7,2,NA,NA,2,1,1,7,0,3,1,3,1,1,1,2,2,3,NA,NA,NA,NA,2,2,3,2,NA,"",NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,2,2,NA,2,NA,1,1,NA,NA,"",1,3,NA,"",7,NA,NA,"",-9,2,1,1,3,1,3,1,4,3,1,1,1,1,2,2,2,2,1,2,NA,2,4,NA,NA,NA,NA,NA,NA,"",1,1,1,2,3,4,NA,NA,NA,"",3,5,NA,NA,NA,NA,NA,"",3,2,2,2,1,1,2,"",NA,NA,NA,"",1,2,"",1,2,1,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",301178,1,638,6,6,2020,24.1,8,1980,2,1,"",11,2,7,2,NA,NA,2,2,3,4,0,2,0,3,1,1,1,1,NA,NA,4,6,3500,NA,1,NA,NA,NA,NA,"",1,NA,NA,NA,"",3,4,6,4,NA,NA,NA,NA,NA,3500,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,2,NA,NA,NA,"",1,3,NA,"",7,NA,NA,"",-9,2,2,2,NA,2,NA,1,4,1,1,2,1,1,2,2,2,-9,1,1,2,1,4,10,NA,NA,NA,NA,NA,"",1,1,1,8,NA,NA,NA,NA,NA,"Wash Vegetables, Tidy",1,2,NA,NA,NA,NA,NA,"",4,2,2,2,1,1,2,"",NA,NA,NA,"",1,2,"",1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",301181,1,621,16,6,2020,19.02,99,9999,1,1,"",12,1,4,2,NA,NA,2,2,2,4,0,0,NA,4,1,2,1,1,NA,NA,5,7,7000,NA,1,NA,NA,NA,NA,"",1,NA,NA,NA,"",2,-7,NA,4,NA,NA,NA,NA,NA,7000,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,NA,NA,NA,"",1,NA,NA,"",7,NA,NA,"",7000,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,2,NA,5,15,NA,NA,NA,NA,NA,NA,"",1,1,1,3,7,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,"",1,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,3,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
